Gen,Descripción,log2FC (ANT/POS),FDR,Categoría
adipor2,adiponectin receptor 2,2.94,1.18e-10,Absorción lípidos
dgat2,diacylglycerol O-acyltransferase 2,5.7,1.24e-09,Absorción lípidos
acsl5,acyl-CoA synthetase long chain family member 5,7.59,1.31e-11,Absorción lípidos
apoa2,apolipoprotein A-II,13.7,1.37e-08,Absorción lípidos
mogat2,monoacylglycerol O-acyltransferase 2,1.62,1.49e-07,Absorción lípidos
scarb1,"scavenger receptor class B, member 1",5.56,2.20e-12,Absorción lípidos
pcyt1bb,"phosphate cytidylyltransferase 1B, choline b",3.54,3.88e-10,Absorción lípidos
cideb,cell death inducing DFFA like effector b,2.25,7.30e-08,Absorción lípidos
scp2a,sterol carrier protein 2a,2.41,7.78e-10,Absorción lípidos
bco1,beta-carotene oxygenase 1,3.23,8.00e-08,Absorción lípidos
acacb,acetyl-CoA carboxylase beta,1.56,8.14e-08,Absorción lípidos
faxdc2,fatty acid hydroxylase domain containing 2,3.8,8.22e-10,Absorción lípidos
malrd1,MAM and LDL receptor class A domain containing 1,2.15,8.97e-08,Absorción lípidos
pcsk2,proprotein convertase subtilisin/kexin type 2,1.65,1.83e-07,Enzima digestiva
tmprss15,transmembrane serine protease 15,5.58,2.75e-08,Enzima digestiva
pygl,"phosphorylase, glycogen, liver",1.64,8.87e-08,Enzima digestiva
gata6,GATA binding protein 6,2.21,3.82e-10,Factor transcripción
osr2,odd-skipped related transciption factor 2,4.36,4.24e-09,Factor transcripción
hnf4b,"hepatic nuclear factor 4, beta",7.18,7.19e-12,Factor transcripción
mmd,monocyte to macrophage differentiation-associated,2.74,2.11e-08,Inmunidad
mal2,"mal, T cell differentiation protein 2",4.88,1.01e-10,Integridad intestinal
aqp8a.1,"aquaporin 8a, tandem duplicate 1",9.05,1.18e-10,Integridad intestinal
tm4sf5,transmembrane 4 L six family member 5,5.31,1.27e-10,Integridad intestinal
tm4sf4,transmembrane 4 L six family member 4,3.59,1.83e-07,Integridad intestinal
evplb,envoplakin b,2.63,1.96e-07,Integridad intestinal
gja13.1,gap junction protein alpha 13.1,3.73,2.00e-07,Integridad intestinal
spire2,spire-type actin nucleation factor 2,6.46,2.25e-10,Integridad intestinal
etnppl,ethanolamine-phosphate phospho-lyase,3.94,2.49e-08,Integridad intestinal
cldn34a,claudin 34a,6.14,3.16e-11,Integridad intestinal
ppl,periplakin,3.56,7.07e-10,Integridad intestinal
tm4sf21b,transmembrane 4 L six family member 21b,9.11,7.28e-12,Integridad intestinal
epb41l4b,erythrocyte membrane protein band 4.1 like 4B,1.74,9.37e-10,Integridad intestinal
ppa1b,inorganic pyrophosphatase 1b,2.24,1.42e-07,Metabolismo
eepd1,endonuclease/exonuclease/phosphatase family domain containing 1,4.43,4.25e-10,Metabolismo
dpydb,dihydropyrimidine dehydrogenase b,2.19,8.16e-08,Metabolismo
dhrs1,dehydrogenase/reductase,2.75,8.87e-08,Metabolismo
wdr81,WD repeat domain 81,6.47,1.34e-09,Otros
polq,polymerase,2.24,1.42e-07,Otros
dennd5b,DENN/MADD domain containing 5B,2.19,1.59e-08,Otros
agfg1b,ArfGAP with FG repeats 1b,2.14,1.63e-08,Otros
mamdc4,MAM domain containing 4,3.03,1.70e-08,Otros
scin,scinderin,7.39,1.77e-10,Otros
cfap161,cilia and flagella associated protein 161,4.29,2.03e-10,Otros
aipl1,aryl hydrocarbon receptor interacting protein-like 1,4.3,2.60e-08,Otros
stk32a,serine/threonine kinase 32A,1.77,2.89e-09,Otros
tmem254,transmembrane protein 254,3.53,3.32e-11,Otros
mansc1,MANSC domain containing 1,4.68,3.60e-10,Otros
kifc3,kinesin family member C3,3.36,3.71e-08,Otros
abc1,"ATP-binding cassette, sub-family A",4.87,4.00e-09,Otros
sec16b,"SEC16 homolog B, endoplasmic reticulum export factor",2.71,5.05e-08,Otros
fam151a,family with sequence similarity 151 member A,9.9,7.70e-09,Otros
zanl,"zonadhesin, like",5.13,7.95e-09,Otros
slc2a1a,solute carrier family 2 member 1a,5.64,1.08e-08,Transportador nutrientes
slc19a3a,solute carrier family 19 member 3a,4.45,1.29e-09,Transportador nutrientes
slc18b1,solute carrier family 18 member B1,2.56,1.35e-08,Transportador nutrientes
slc4a4a,solute carrier family 4 member 4a,7.16,5.14e-09,Transportador nutrientes
slc15a1a,solute carrier family 15 member 1a,7.14,5.26e-12,Transportador nutrientes
slc26a6,solute carrier family 26 member 6,8.4,5.35e-08,Transportador nutrientes
