,query_id,subject_id,pct_identity,alignment_length,mismatches,gap_opens,q_start,q_end,s_start,s_end,evalue,bit_score,gene_name_x,gene_name
0,L3_83747|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.10|FDR=2.90e-14,XR_007885885.1,100.0,60,0,0,1,60,9886,9945,1.79e-24,111.0,,loc127368804
1,L2_28353|AltoANT-MED_digestion-absorcion|FC_ANT_POS=6.14|FDR=2.90e-14,XR_007885885.1,98.333,60,1,0,1,60,2587,2528,8.309999999999999e-23,106.0,,loc127368804
2,L12_34593|AltoANT-MED_digestion-absorcion|FC_ANT_POS=9.55|FDR=1.38e-13,XM_051390030.1,98.333,60,1,0,1,60,213,272,8.309999999999999e-23,106.0,,loc127357679
3,L12_89941|AltoANT-MED_digestion-absorcion|FC_ANT_POS=6.85|FDR=8.82e-13,XR_007885885.1,100.0,60,0,0,1,60,3190,3249,1.79e-24,111.0,,loc127368804
4,L12_84913|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.56|FDR=2.20e-12,XM_051411637.1,100.0,30,0,0,1,30,1613,1642,8.49e-08,56.5,,scarb1
5,L12_85179|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.77|FDR=4.06e-12,XM_051426087.1,100.0,58,0,0,1,58,2758,2815,2.3099999999999999e-23,108.0,,gata5
6,L12_82732|AltoANT-MED_digestion-absorcion|FC_ANT_POS=10.81|FDR=5.26e-12,XM_051407115.1,100.0,60,0,0,1,60,1458,1517,1.79e-24,111.0,,loc127367353
7,L12_88402|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.14|FDR=5.26e-12,XM_051404768.1,100.0,60,0,0,1,60,2309,2368,1.79e-24,111.0,,slc15a1a
8,L12_81434|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.33|FDR=5.26e-12,XR_007883313.1,100.0,60,0,0,1,60,1869,1928,1.79e-24,111.0,,loc127360164
9,L12_85830|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.18|FDR=7.19e-12,XM_051380307.1,100.0,60,0,0,1,60,1315,1374,1.79e-24,111.0,,hnf4b
10,L12_77773|AltoANT-MED_digestion-absorcion|FC_ANT_POS=9.11|FDR=7.28e-12,XM_051375258.1,100.0,60,0,0,1,60,722,781,1.79e-24,111.0,,tm4sf21b
11,L12_88065|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.59|FDR=1.31e-11,XM_051418622.1,98.333,60,1,0,1,60,2110,2169,8.309999999999999e-23,106.0,,acsl5
12,L12_59073|AltoANT-MED_digestion-absorcion|FC_ANT_POS=11.05|FDR=2.03e-11,XM_051407222.1,100.0,60,0,0,1,60,344,403,1.79e-24,111.0,,apoc2
13,L12_86083|AltoANT-MED_digestion-absorcion|FC_ANT_POS=6.14|FDR=3.16e-11,XM_051375819.1,100.0,60,0,0,1,60,936,995,1.79e-24,111.0,,cldn34a
